start_date,start_time,finish_date,finish_time,all_day,name,detail,location,event_type,publish_date,attendance
25/11/2025,09:30,25/11/2025,10:25,0,"History 08 (08His_S2_5)",,ROG08,5,,0
25/11/2025,10:25,25/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
25/11/2025,11:10,25/11/2025,12:02,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
25/11/2025,12:02,25/11/2025,12:55,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
25/11/2025,13:40,25/11/2025,14:35,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
25/11/2025,14:35,25/11/2025,15:30,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
26/11/2025,08:35,26/11/2025,09:30,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
26/11/2025,09:30,26/11/2025,10:25,0,"Assembly 08 (08Aby_S2_1)",,Collegians,5,,0
26/11/2025,10:25,26/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
26/11/2025,11:10,26/11/2025,12:02,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
26/11/2025,12:02,26/11/2025,12:55,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
26/11/2025,13:40,26/11/2025,14:35,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
26/11/2025,14:35,26/11/2025,15:30,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
27/11/2025,08:35,27/11/2025,09:30,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
27/11/2025,09:30,27/11/2025,10:25,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
27/11/2025,10:25,27/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
27/11/2025,11:10,27/11/2025,12:02,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
27/11/2025,12:02,27/11/2025,12:55,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
27/11/2025,13:40,27/11/2025,14:35,0,"History 08 (08His_S2_5)",,ROG08,5,,0
27/11/2025,14:35,27/11/2025,15:30,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
28/11/2025,08:35,28/11/2025,09:30,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
28/11/2025,09:30,28/11/2025,10:25,0,"History 08 (08His_S2_5)",,ROG08,5,,0
28/11/2025,10:25,28/11/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
28/11/2025,11:10,28/11/2025,12:02,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
28/11/2025,12:02,28/11/2025,12:55,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
28/11/2025,13:40,28/11/2025,14:35,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
28/11/2025,14:35,28/11/2025,15:30,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
01/12/2025,08:35,01/12/2025,09:30,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
01/12/2025,09:30,01/12/2025,10:25,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
01/12/2025,10:25,01/12/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
01/12/2025,11:10,01/12/2025,12:02,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
01/12/2025,12:02,01/12/2025,12:55,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
01/12/2025,13:40,01/12/2025,14:35,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
01/12/2025,14:35,01/12/2025,15:30,0,"Religious and Values Education 08 (08Rav_S2_5)",,MAJ08,5,,0
02/12/2025,08:35,02/12/2025,09:30,0,"History 08 (08His_S2_5)",,ROG08,5,,0
02/12/2025,09:30,02/12/2025,10:25,0,"History 08 (08His_S2_5)",,ROG08,5,,0
02/12/2025,10:25,02/12/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
02/12/2025,11:10,02/12/2025,12:02,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
02/12/2025,12:02,02/12/2025,12:55,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
02/12/2025,13:40,02/12/2025,14:35,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
02/12/2025,14:35,02/12/2025,15:30,0,"English 08 (08Eng_S2_7)",,FRA2.4,5,,0
03/12/2025,08:35,03/12/2025,09:30,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
03/12/2025,09:30,03/12/2025,10:25,0,"House Group Time 08 (08HGT_S2_8)",,MAJ05,5,,0
03/12/2025,10:25,03/12/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
03/12/2025,11:10,03/12/2025,12:02,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
03/12/2025,12:02,03/12/2025,12:55,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
03/12/2025,13:40,03/12/2025,14:35,0,"History 08 (08His_S2_5)",,ROG08,5,,0
03/12/2025,14:35,03/12/2025,15:30,0,"Study Skills 08 (08SSk_S2_5)",,MOR2.1,5,,0
04/12/2025,08:35,04/12/2025,09:30,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
04/12/2025,09:30,04/12/2025,10:25,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
04/12/2025,10:25,04/12/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
04/12/2025,11:10,04/12/2025,12:02,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
04/12/2025,12:02,04/12/2025,12:55,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
04/12/2025,13:40,04/12/2025,14:35,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
04/12/2025,14:35,04/12/2025,15:30,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
05/12/2025,08:35,05/12/2025,09:30,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
05/12/2025,09:30,05/12/2025,10:25,0,"Health and Physical Education 08 (08HPE_S2_5)",,WIG2.1,5,,0
05/12/2025,10:25,05/12/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
05/12/2025,11:10,05/12/2025,12:02,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
05/12/2025,12:02,05/12/2025,12:55,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
05/12/2025,13:40,05/12/2025,14:35,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
05/12/2025,14:35,05/12/2025,15:30,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
08/12/2025,08:35,08/12/2025,09:30,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
08/12/2025,09:30,08/12/2025,10:25,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
08/12/2025,10:25,08/12/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
08/12/2025,11:10,08/12/2025,12:02,0,"English 08 (08Eng_S2_7)",,MOR1.3,5,,0
08/12/2025,12:02,08/12/2025,12:55,0,"Mathematics 08 (08Mat_S2_8)",,MOR1.5,5,,0
08/12/2025,13:40,08/12/2025,14:35,0,"Chapel 08 (08Chp_S2_1)",,CHAPEL,5,,0
08/12/2025,14:35,08/12/2025,15:30,0,"Digital Design 08 (08DiD_T3_2)",,MAJ01,5,,0
09/12/2025,08:35,09/12/2025,09:30,0,"Religious and Values Education 08 (08Rav_S2_5)",,MAJ08,5,,0
09/12/2025,09:30,09/12/2025,10:25,0,"History 08 (08His_S2_5)",,ROG08,5,,0
09/12/2025,10:25,09/12/2025,10:45,0,"Mentor 08 (08MeG_S2_10)",,WIG2.2,5,,0
09/12/2025,11:10,09/12/2025,12:02,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
09/12/2025,12:02,09/12/2025,12:55,0,"Continuing Media 08 (08CMe_T3_1)",,STR08,5,,0
09/12/2025,13:40,09/12/2025,14:35,0,"Continuing Spanish 08 (08CSp_S2_3)",,ROG01,5,,0
09/12/2025,14:35,09/12/2025,15:30,0,"Science 08 (08Sci_S2_6)",,BLA07,5,,0
